2022-05-18 16:05:799 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 00:05:02 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 00:05:132 INFO  StartPage :27 - click On Start Button : [[ChromeDriver: chrome on WINDOWS (0888500dc812c15fcd434558c58f42ae)] -> xpath: //a[normalize-space()='Start now']]
2022-05-19 00:05:580 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 00:05:789 INFO  StartPage :27 - click On Start Button : [[ChromeDriver: chrome on WINDOWS (75b2cc1806fdd34666b4172eaeb7ad03)] -> xpath: //a[normalize-space()='Start now']]
2022-05-19 00:05:568 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 00:05:62 INFO  StartPage :27 - click On Start Button : [[ChromeDriver: chrome on WINDOWS (a36e3a14acd73bb0e74d49c164970499)] -> xpath: //a[normalize-space()='Start now']]
2022-05-19 11:05:441 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 11:05:862 INFO  StartPage :27 - click On Start Button : [[ChromeDriver: chrome on WINDOWS (1d71b9eadf8584ff55ce02975f6f3553)] -> xpath: //a[normalize-space()='Start now']]
2022-05-19 11:05:152 INFO  SelectNationalityPage :30 - select country : [[ChromeDriver: chrome on WINDOWS (1d71b9eadf8584ff55ce02975f6f3553)] -> id: response]
2022-05-19 11:05:261 INFO  SelectNationalityPage :35 - click Continue Buttony : [[ChromeDriver: chrome on WINDOWS (1d71b9eadf8584ff55ce02975f6f3553)] -> xpath: //button[normalize-space()='Continue']]
